"country","continent","landarea","agrpercent","spared","continentid","overflow"
"Armenia","Asia",2847,58.9,41.1,"asia",1
"Afghanistan","Asia",65286,58.1,0,"asia",0
"Albania","Europe",2740,42.9,39.1,"europe",0
"Algeria","Africa",238174,17.4,25.6,"africa",0
"American Samoa","Oceania",20,24.5,0,"oceania",0
"Andorra","Europe",47,40,0,"europe",0
"Angola","Africa",124670,47.5,52.5,"africa",1
"Antigua and Barbuda","North America",44,20.5,79.5,"north-america",1
"Argentina","South America",273669,54.3,-11.7,"south-america",0
"Australia","Oceania",768230,47.6,-3.5,"oceania",0
"Austria","Europe",8252.3,32.9,44.1,"europe",0
"Bahamas","North America",1001,1.4,15.3,"north-america",0
"Bahrain","Asia",77.1,11.2,0,"asia",0
"Barbados","North America",43,32.6,67.4,"north-america",1
"Bangladesh","Asia",13017,70.6,29.4,"asia",1
"Bermuda","North America",5,6,94,"north-america",1
"Bhutan","Asia",3811.7,13.8,0,"asia",0
"Bolivia","South America",108330,34.8,-0.4,"south-america",0
"Botswana","Africa",56673,45.9,44.9,"africa",0
"Brazil","South America",835814,33.8,-8.4,"south-america",0
"Aruba","North America",18,11.1,0,"north-america",0
"Belize","North America",2281,7,2.3,"north-america",0
"Solomon Islands","Oceania",2799,3.9,2,"oceania",0
"Brunei Darussalam","Asia",527,2.7,97.3,"asia",1
"Bulgaria","Europe",10856,46.2,22.6,"europe",0
"Myanmar","Asia",65308,19.5,7.6,"asia",0
"Burundi","Africa",2568,79.1,20.9,"africa",1
"Cameroon","Africa",47271,20.6,5.1,"africa",0
"Canada","North America",909351,6.9,0.3,"north-america",0
"Cabo Verde","Africa",403,19.6,58.2,"africa",0
"Cayman Islands","North America",24,11.2,0,"north-america",0
"Central African Republic","Africa",62298,8.2,4.8,"africa",0
"Sri Lanka","Asia",6271,43.7,41.7,"asia",0
"Chad","Africa",125920,39.7,29.8,"africa",0
"Chile","South America",74353.2,21.2,1.2,"south-america",0
"Colombia","South America",110950,40.3,5.7,"south-america",0
"Comoros","Africa",186.1,71.5,28.5,"africa",1
"Congo","Africa",34150,31.1,35.1,"africa",0
"Cook Islands","Oceania",24,6.2,0,"oceania",0
"Costa Rica","North America",5106,35.5,3.7,"north-america",0
"Cuba","North America",10402,60,18.6,"north-america",0
"Cyprus","Asia",924,13.8,86.2,"asia",1
"Azerbaijan","Asia",8266.3,57.7,42.3,"asia",1
"Benin","Africa",11276,33.3,66.7,"africa",1
"Denmark","Europe",4199,62.2,0.3,"europe",0
"Dominica","North America",75,33.3,6.4,"north-america",0
"Dominican Republic","North America",4831,48.7,30.1,"north-america",0
"Belarus","Europe",20291,42.3,12.8,"europe",0
"Ecuador","South America",24836,23.3,2.2,"south-america",0
"Egypt","Africa",99545,3.8,7.2,"africa",0
"El Salvador","North America",2072,77.3,22.7,"north-america",1
"Equatorial Guinea","Africa",2805,10.1,0,"africa",0
"Estonia","Europe",4239,23.4,10.6,"europe",0
"Faroe Islands","Europe",139.6,2.1,0,"europe",0
"Falkland Islands (Malvinas)","North America",1217,92.3,0,"north-america",0
"Fiji","Oceania",1827,23.3,12.1,"oceania",0
"Finland","Europe",30391,7.5,2,"europe",0
"France","Europe",54755.7,52.5,4.2,"europe",0
"French Guiana","South America",8220,0.4,0,"south-america",0
"French Polynesia","Oceania",366,12.4,55.2,"oceania",0
"Djibouti","Africa",2318,73.4,26.6,"africa",1
"Georgia","Asia",6949,36.7,63.3,"asia",1
