"Product","Locatie","Categorie","Totopp","Percgras"
"agf","Buiten EU","Plantaardig",9.53138200630208,0
"agf","EU","Plantaardig",15.6609374851534,0
"agf","NL","Plantaardig",41.025331208615,0
"alco","Buiten EU","Plantaardig",7.103422139103,0
"alco","EU","Plantaardig",32.5530335999059,0
"alco","NL","Plantaardig",10.0579382346786,0
"brood & graan","Buiten EU","Plantaardig",8.89584188232459,0
"brood & graan","EU","Plantaardig",90.2848246013579,0
"brood & graan","NL","Plantaardig",8.88081933082374,0
"fris","Buiten EU","Plantaardig",7.10054794311612,0
"fris","EU","Plantaardig",13.6093835576392,0
"fris","NL","Plantaardig",5.9171232859301,0
"kip & ei","Buiten EU","Dierlijk",24.3316601187253,0
"kip & ei","EU","Dierlijk",93.7321967829058,0
"kip & ei","NL","Dierlijk",11.688335435053,0
"koffie","Buiten EU","Plantaardig",140.7989644731,0
"koffie","EU","Plantaardig",0,0
"koffie","NL","Plantaardig",0,0
"rundvlees","Buiten EU","Dierlijk",174.898936324745,70.5
"rundvlees","EU","Dierlijk",203.437510139959,74.6
"rundvlees","NL","Dierlijk",181.577359037388,73.7
"varkensvlees","Buiten EU","Dierlijk",37.4833638021278,0
"varkensvlees","EU","Dierlijk",154.693247437353,0
"varkensvlees","NL","Dierlijk",10.4715429034516,0
"vegi","Buiten EU","Plantaardig",21.1021310231727,0
"vegi","EU","Plantaardig",2.77141289658452,0
"vegi","NL","Plantaardig",0,0
"vet & snack","Buiten EU","Plantaardig",53.2662437321481,4.4
"vet & snack","EU","Plantaardig",85.8140118274422,3.4
"vet & snack","NL","Plantaardig",22.4834018965989,18.4
"vis","Buiten EU","Dierlijk",9.87069151308612,0
"vis","EU","Dierlijk",2.95529686020543,0
"vis","NL","Dierlijk",0,0
"zoet & gebak","Buiten EU","Plantaardig",13.6051027756233,0
"zoet & gebak","EU","Plantaardig",47.314227438174,0
"zoet & gebak","NL","Plantaardig",16.5572253929195,0
"zuivel","Buiten EU","Dierlijk",46.1474640537356,0
"zuivel","EU","Dierlijk",47.3310678449191,25
"zuivel","NL","Dierlijk",151.754021015632,79.3
