"Product","Locatie","Categorie","Totopp","Percgras"
"agf","Buiten EU","Plantaardig",10.4,0
"agf","EU","Plantaardig",14.8,0
"agf","NL","Plantaardig",39.8,0
"brood & graan","Buiten EU","Plantaardig",8.3,0
"brood & graan","EU","Plantaardig",91.4,0
"brood & graan","NL","Plantaardig",8.4,0
"dranken","Buiten EU","Plantaardig",155.5,0
"dranken","EU","Plantaardig",44.8,0
"dranken","NL","Plantaardig",17.3,0
"kip & ei","Buiten EU","Dierlijk",25.8,0
"kip & ei","EU","Dierlijk",91.6,0
"kip & ei","NL","Dierlijk",12.1,0
"rundvlees","Buiten EU","Dierlijk",71.5,29.2
"rundvlees","EU","Dierlijk",304.4,84.7
"rundvlees","NL","Dierlijk",195.8,73.6
"varkensvlees","Buiten EU","Plantaardig",40.5,0
"varkensvlees","EU","Plantaardig",151.9,0
"varkensvlees","NL","Plantaardig",10.1,0
"vegi","Buiten EU","Plantaardig",20.8,0
"vegi","EU","Plantaardig",2.2,0
"vegi","NL","Plantaardig",0.5,0
"vet & snack","Buiten EU","Plantaardig",61.4,0
"vet & snack","EU","Plantaardig",68.7,0
"vet & snack","NL","Plantaardig",22.4,0
"vis","Buiten EU","Dierlijk",7.3,0
"vis","EU","Dierlijk",5.6,0
"vis","NL","Dierlijk",0,0
"zoet & gebak","Buiten EU","Plantaardig",12.8,0
"zoet & gebak","EU","Plantaardig",40.1,0
"zoet & gebak","NL","Plantaardig",24.7,0
"zuivel","Buiten EU","Dierlijk",54,0
"zuivel","EU","Dierlijk",32.3,0
"zuivel","NL","Dierlijk",168.2,81.5
